,Movie,Release Date,Budget,Revenue,Genres
478,The Adventures of Tintin,2011-10-25,130000000,371940071,Adventure
479,Any Given Sunday,1999-12-16,55000000,100230832,Drama
480,The Fantastic Flying Books of Mr Morris Lessmore,2011-01-30,0,0,Adventure
481,La Luna,1979-08-29,0,0,Drama
482,Robinson Crusoe: The Wild Life,2016-02-04,13500000,3342697,Adventure
483,Pentecost,2011-02-10,0,0,Comedy
484,Raju Gadu,2018-06-01,0,0,Comedy
485,Love at the Shore,2017-08-05,0,0,Romance
486,Time Freak,2018-11-09,0,0,Science Fiction
487,Tuba Atlantic,2010-02-10,0,0,Comedy
488,Drive,2011-08-06,15000000,78054825,Drama
489,Transformers: Dark of the Moon,2011-06-28,195000000,1123746996,Action
490,Real Steel,2011-09-28,110000000,299268508,Action
491,Rise of the Planet of the Apes,2011-08-03,93000000,482860185,Thriller
492,The Ides of March,2011-09-24,12500000,75993061,Drama
493,Margin Call,2011-09-28,3500000,19504039,Thriller
494,Mitch Albom's For One More Day,2007-12-09,0,0,Drama
495,Alles wegen Robert De Niro,1996-12-04,0,0,Comedy
496,Brave,2012-06-21,185000000,538983207,Animation
497,Frankenweenie,2012-10-04,39000000,35287788,Animation
498,ParaNorman,2012-08-03,60000000,107139399,Family
499,The Pirates! In an Adventure with Scientists!,2012-03-12,60000000,118338361,Animation
500,Wreck-It Ralph,2012-11-01,165000000,471222889,Family
501,Anna Karenina,2012-09-06,0,68929150,Drama
502,Life of Pi,2012-11-20,120000000,609016565,Adventure
503,Skyfall,2012-10-25,200000000,1108561013,Action
504,Mirror Mirror,2012-03-15,85000000,183018522,Adventure
505,Snow White and the Huntsman,2012-05-30,170000000,396600000,Adventure
506,Five Broken Cameras,2011-11-23,0,0,War
507,The Gatekeepers,2012-07-09,0,0,Documentary
508,How to Survive a Plague,2012-09-20,0,0,Documentary
509,The Invisible War,2012-01-20,0,0,Crime
510,Searching for Sugar Man,2012-06-30,0,0,Documentary
511,Born Innocent,1974-09-10,0,0,Drama
512,Aprimi il cuore,2002-09-07,0,0,Drama
513,The Shawshank Redemption,1994-09-23,25000000,28341469,Drama
514,Kon-Tiki,2012-08-24,16600000,0,Adventure
515,Dr. No,1962-10-04,950000,59600000,Adventure
516,En kongelig affære,2012-03-29,8000000,7594693,Drama
517,Rebelle,2012-02-17,0,0,Drama
518,Hitchcock,2012-11-22,0,23570541,Drama
519,The Hobbit: An Unexpected Journey,2012-11-26,250000000,1021103568,Adventure
520,Adam and Dog,2013-02-01,0,0,Animation
521,Fresh Guacamole,2012-03-02,0,0,Animation
522,Head Over Heels,2001-02-02,14000000,10424470,Comedy
523,Maggie Simpson in The Longest Daycare,2012-07-12,0,0,Animation
524,Paperman,2012-11-02,0,0,Animation
525,Curfew,2012-01-01,50000,0,Drama
526,Hardcore Henry,2015-09-12,10000000,14333790,Action
527,The Avengers,2012-04-25,220000000,1519557910,Science Fiction
528,Prometheus,2012-05-30,130000000,403170142,Science Fiction
529,Moonrise Kingdom,2012-05-24,16000000,68263166,Comedy
530,Jill Drew and D.A. Pennebaker,2016-04-20,0,0,Documentary
531,George Stevens Jr. On 'Woman of the Year',2017-04-18,0,0,Documentary
534,The Croods,2013-03-20,135000000,585178928,Action
535,Despicable Me 2,2013-06-25,76000000,970761885,Animation
536,Ernest et Célestine,2012-12-12,12516654,8109160,Animation
537,Frozen,2013-11-27,150000000,1274219009,Animation
538,風立ちぬ,2013-07-20,30000000,117932401,Animation
539,一代宗師,2013-01-10,3860000,64076736,Action
540,Inside Llewyn Davis,2013-10-06,11000000,32935319,Drama
541,Prisoners,2013-09-18,46000000,122126687,Drama
542,The Great Gatsby,2013-05-10,105000000,351040419,Drama
543,The Invisible Woman,2013-12-25,0,1234254,Drama
544,Jagal,2012-08-31,1000000,444575,Documentary
545,Cutie and the Boxer,2013-08-16,0,0,Documentary
546,Dirty Wars,2013-01-18,0,0,Documentary
547,The Square,2017-08-25,0,1502347,Drama
548,20 Feet from Stardom,2013-06-14,1000000,5892466,Documentary
549,Cavedigger,2013-01-12,0,0,Documentary
550,Karama Has No Walls,2012-03-01,0,0,Documentary
551,The Broken Circle Breakdown,2012-10-09,0,5475058,Drama
552,The Great American Beauty Contest,1973-02-13,0,0,TV Movie
553,Hunt for the Wilderpeople,2016-03-31,2500000,23200000,Adventure
554,L'image manquante,2014-03-19,0,52164,Documentary
555,Omar m'a tuer,2011-06-21,0,0,Drama
556,Jackass Presents: Bad Grandpa,2013-10-22,15000000,151831537,Comedy
557,The Lone Ranger,2013-07-03,255000000,89289910,Action
558,The Book Thief,2013-11-08,0,76586316,Drama
559,Her,2013-12-18,23000000,47351251,Romance
560,Saving Mr. Banks,2013-11-16,35000000,112544580,Comedy
561,Feral,2018-05-25,0,0,Thriller
562,Get a Horse!,2013-11-27,0,0,Animation
563,Mr Hublot,2013-10-14,295000,0,Animation
564,Ava's Possessions,2015-03-16,0,0,Mystery
565,Room on the Broom,2012-12-25,0,0,Family
566,Avant que de tout perdre,2013-01-23,0,0,Family
567,Helium,2013-10-01,0,0,Drama
568,The Voorman Problem,2013-04-25,0,0,Comedy
569,All Is Lost,2013-10-18,9000000,6108720,Action
570,The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,Adventure
571,Lone Survivor,2013-12-24,40000000,149295601,Action
572,Iron Man 3,2013-04-18,200000000,1215439994,Action
573,Star Trek Into Darkness,2013-05-05,190000000,467365246,Action
574,Before Midnight,2013-04-05,3000000,11176469,Romance
575,Steve Martin Live,1984-09-06,0,0,Comedy
576,They All Laughed 25 Years Later: Director to Director - A Conversation with Peter Bogdanovich and Wes Anderson,2006-10-17,0,0,Documentary
578,Big Hero 6,2014-10-24,165000000,657818612,Adventure
579,The Boxtrolls,2014-09-10,60000000,108255770,Animation
580,How to Train Your Dragon 2,2014-06-12,145000000,609123048,Fantasy
581,Song of the Sea,2014-09-06,0,857522,Family
582,かぐや姫の物語,2013-11-23,49300000,24186232,Animation
583,The Grand Budapest Hotel,2014-02-26,30000000,174600318,Comedy
584,Ida,2013-10-25,2159280,15298355,Drama
585,Mr. Turner,2014-10-31,0,5405500,History
586,Unbroken,2014-12-25,65000000,163442937,Drama
587,Inherent Vice,2014-12-25,20000000,11110975,Comedy
588,Maleficent,2014-05-28,180000000,758539785,Fantasy
589,Citizenfour,2014-10-24,0,3003169,Documentary
590,Finding Vivian Maier,2014-03-28,0,1503616,Documentary
591,Last Days in Vietnam,2014-09-05,0,161,War
592,Salt of the Earth,1954-03-14,0,0,History
593,Virunga,2014-11-07,0,0,Documentary
594,Crisis Hotline: Veterans Press 1,2013-11-11,0,0,Documentary
595,Joanna,2013-06-28,0,0,Documentary
596,Nasza klątwa,2013-05-28,0,0,Documentary
597,White Earth,2013-03-17,0,0,Documentary
598,Leviathan,1989-03-17,25000000,15704614,Adventure
599,Mandariinid,2013-10-16,0,0,Drama
600,Timbuktu,2014-12-10,0,1076075,Drama
601,Relatos salvajes,2014-08-21,0,27007072,Drama
602,Guardians of the Galaxy,2014-07-30,170000000,773328629,Action
603,Interstellar,2014-11-05,165000000,675120017,Adventure
604,Selma,2014-12-25,20000000,66787908,History
605,The Bigger Picture,2014-05-21,0,0,Drama
606,The Dam Keeper,2014-02-06,0,0,Animation
607,Feast,2014-11-07,0,0,Animation
608,Moulton og meg,2014-09-11,0,0,Animation
609,A Single Life,2014-12-04,0,0,Animation
610,Boogaloo and Graham,2014-08-01,0,0,Drama
611,Parvaneh,2012-11-01,0,0,Drama
612,The Phone Call,2013-10-20,0,0,Drama
613,The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,Action
614,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,Action
615,Dawn of the Planet of the Apes,2014-06-26,170000000,710644566,Science Fiction
616,X-Men: Days of Future Past,2014-05-15,250000000,747862775,Action
617,Nightcrawler,2014-10-23,8500000,50300000,Crime
618,Sing Your Song,2012-01-13,0,29110,Documentary
619,Busy Bodies,1933-10-07,0,0,Comedy
620,Driven,2001-04-27,94000000,54744738,Action
621,Charlotte Rampling: The Look,2011-05-16,0,0,Documentary
622,Anomalisa,2015-12-30,8000000,5659286,Animation
623,O Menino e o Mundo,2014-01-17,0,0,Animation
624,Inside Out,2015-06-09,175000000,857611174,Drama
625,Shaun the Sheep Movie,2015-02-05,0,59700000,Family
626,思い出のマーニー,2014-07-19,0,561085,Animation
627,Mad Max: Fury Road,2015-05-13,150000000,378858340,Action
628,Sicario,2015-09-17,30000000,84025816,Action
629,Cinderella,2015-03-12,95000000,543514353,Romance
630,Amy,2015-07-03,0,8413144,Documentary
631,Cartel Land,2015-07-03,0,0,Drama
632,The Look of Silence,2014-08-30,0,332710,History
633,"What Happened, Miss Simone?",2015-01-22,0,0,Documentary
634,Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,0,0,Documentary
635,Body Team 12,2015-04-19,0,0,Documentary
636,"Chau, Beyond the Lines",2015-08-21,0,0,Documentary
637,A Girl in the River: The Price of Forgiveness,2015-10-28,0,0,Documentary
638,Last Day of Freedom,2015-04-11,0,0,Animation
639,Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,Action
640,El Abrazo de la Serpiente,2015-05-25,1400000,1320005,Adventure
641,Mustang,2015-06-17,1300000,250000,Drama
642,Saul fia,2015-06-11,1000000,1777043,War
643,Theeb‎‎,2014-09-04,0,0,Adventure
644,A Private War,2018-11-16,0,0,Drama
645,Hundraåringen som klev ut genom fönstret och försvann,2013-12-25,9250000,0,Adventure
646,The Bath Song & More Kids Songs: Super Simple Songs,2015-04-22,0,0,Music
647,Historia de un oso,2014-05-08,0,0,Adventure
648,Prologue,2015-06-01,0,0,Action
649,Sanjay's Super Team,2015-11-25,0,0,Animation
650,Мы не можем жить без космоса,2014-08-21,0,0,Animation
651,World of Tomorrow,2015-03-05,0,0,Animation
652,Ave Maria,2015-05-18,0,0,Comedy
653,Shok,2015-04-10,0,0,Drama
654,Stutterer,2015-07-08,0,0,Drama
655,Ex Machina,2015-01-21,15000000,36869414,Drama
656,Straight Outta Compton,2015-08-13,28000000,201634991,Drama
657,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016-05-14,10000000,0,Documentary
658,He Got Game,1998-05-01,25000000,21567853,Drama
